index,value
2014-05-31,-1.2003841200534522
2014-06-30,-1.4537732799971395
2014-07-31,-1.197310150076986
2014-08-31,-1.0862409499489654
2014-09-30,-0.5977087799936093
2014-10-31,-0.49950050000754875
2014-11-30,0.3200808600474488
2014-12-31,1.4017093999887313
2015-01-31,1.268995770036834
2015-02-28,1.2689957700969008
2015-03-31,0.7242877801417569
2015-04-30,2.9241645200534814
2015-05-31,5.167665640096896
2015-06-30,8.072269190007002
2015-07-31,9.246347940091646
2015-08-31,9.85024957992322
2015-09-30,9.30349090007881
2015-10-31,9.354083000040994
2015-11-30,9.370277080009622
2015-12-31,9.103169249924228
2016-01-31,14.387376240062435
2016-02-29,14.387376240042913
2016-03-31,18.24864173997563
2016-04-30,16.26600061996052
2016-05-31,14.248305610037502
2016-06-30,12.30061349994099
